,City Name,City ID,Country,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
345,Chegdomyn,2025579,RU,51.12,133.02,60.58,78,5,3.24
346,San Vicente,3428068,AR,-26.62,-54.13,73.58,48,72,8.3
347,Znamenskoye,1485020,RU,57.13,73.83,66.81,62,28,2.8
348,Gunnedah,2164206,AU,-30.98,150.25,51.8,81,0,9.17
349,Nuuk,3421319,GL,64.18,-51.72,51.8,76,75,3.36
350,Turukhansk,1488903,RU,65.82,87.98,60.46,78,85,6.93
351,Kütahya,305268,TR,39.42,29.98,86.67,33,20,6.93
352,Ribeira Grande,3372707,PT,38.52,-28.7,73.4,64,20,9.17
353,Taltal,3870243,CL,-25.4,-70.48,62.46,29,0,3.96
354,Dalbandin,1180729,PK,28.89,64.41,104.05,11,19,12.41
355,Prince Rupert,6113406,CA,54.32,-130.32,55.4,93,90,4.7
356,Matadi,2313002,CD,-5.82,13.45,94.66,28,87,5.12
357,Evensk,2125693,RU,61.95,159.23,52.07,84,100,4.21
358,San Fernando del Valle de Catamarca,3837702,AR,-28.47,-65.79,43.05,77,33,1.99
359,Demir Hisar,787778,MK,41.22,21.2,84.2,37,20,9.17
360,Mossamedes,3347019,AO,-15.2,12.15,78.04,44,0,13.85
361,Manta,3654410,EC,-0.95,-80.73,73.4,83,75,10.29
362,Oriximiná,3393471,BR,-1.77,-55.87,88.2,55,24,5.06
363,Port Hedland,2063042,AU,-20.32,118.57,64.4,34,0,6.93
364,Tonkino,482230,RU,57.37,46.46,69.06,55,29,6.15
365,Pauini,3662927,BR,-7.71,-66.98,88.07,53,36,1.48
366,Xining,1788852,CN,36.62,101.77,60.75,85,100,4.45
367,Quelimane,1028434,MZ,-17.88,36.89,75.09,64,75,5.82
368,Bariloche,7647007,AR,-41.15,-71.31,35.6,59,40,16.11
369,Nome,5870133,US,64.5,-165.41,47.61,87,90,3.36
370,Spanish Town,3488465,JM,17.99,-76.96,80.64,66,40,3.36
371,Katobu,1640972,ID,-4.94,122.53,72.43,88,35,4.45
372,Yumen,1528998,CN,40.28,97.2,78.53,17,0,15.82
373,Baykit,1510689,RU,61.67,96.37,54.25,84,72,3.27
374,Tricase,2522857,IT,39.93,18.36,86.41,74,0,3.0
375,Pemangkat,1631637,ID,1.17,108.97,79.11,78,92,3.18
376,Tapejara,3446922,BR,-28.07,-52.01,65.34,74,76,8.32
